"1","She ____ to work every day","B","Go","Goes","Going","Have gone","tenses"
"2","We are ___ playing","D","Always","Often","Are playing","Still","tenses"
"3","I ____ my shoes last night","A","Cleaned","Have cleaned","Clean","Am cleaning","tenses"
"4","My father ____ fifty years old next year","C","Is","Would be","Will be","Shall be","tenses"
"5","Mr. Herpinus teaches English _______","A","Twice a week","Now","Since 2001","For two years","tenses"
"6","My wife filled the kettel ________","C","Every morning","Now","Ten minutes ago","Every day","tenses"
"7","A : How are you, Mr. Deni ?<br><br>B : ______, thank you.","A","I am fine","How about you","Wish you luck","Hello","expression"
"8","''Don't make any noise'' it has the same meaning withâ€¦","D","Don't be very quiet","Don't be silent","Keep your set","Keep silent","expression"
"9","Adinia : Sania, may I borrow your English book?<br><br>Sania : Sure, here you are<br><br>Adinia : _____<br><br>Sania : You're welcome.","B","Of course","Thank you","Certainly","Sure","expression"
"10","Mimin : I get a terrible headache<br><br>Rudy  : You should see a doctor soon<br><br>From the dialogue, Rudy expresses ...","B","command","advice","order","hope","expression"
"11","Bella    : ______ the floor is too slippery!<br><br>Robby : Ups!  Ouch! (Robby falls down)<br><br>Bella    : Why don't you hear my words?<br><br>To warn someone, the following phrase can be used, except :","D","Watch out","Look out","Take care","Get through","expression"
"12","Dian  : How is your English mark?<br><br>Romy : I'm very disappointed with it. I just got 6.<br><br>From the dialogue, Romy expresses ...","D","pleasure","advice","warning","dissatisfaction","expression"
"13","Rio    : I've got a splitting headache<br><br>Yoyo   : What a pity. Let me take an aspirin for you.<br><br>Rio       : Thanks, Yoyo.<br><br>From the dialogue, Rio expresses...","A","Pain","Relief","Anger","Pleasure","expression"
"14","Maya  : Are you okay?<br><br>Lala    : Yes, I'm okay<br><br>Maya  : _______. I didn't mean to hit you.<br><br>The following utterances can be used to complete<br><br>Maria's sentence, except:","A","Oh, good","Poor you","Thanks goodness","What a relief","expression"
"15","name",,,,,,"speaking"
"16","upset"," "," "," "," "," ","speaking"
"17","exclusive"," "," "," "," "," ","speaking"
"18","tired"," "," "," "," "," ","speaking"
"19","angry"," "," "," "," "," ","speaking"
"20","better"," "," "," "," "," ","speaking"
"21","Laura: Good Morning<br><br>Brian: Good morning<br><br>Laura: I'm laura<br><br>Brian: _____________?<br><br>Laura: How do you do?","How do you do","r1.mp3"," "," "," ","listening"
