"1","a bag of tricks","metode untuk mencapai suatu tujuan.","I wonder what the Republicans will pull out of their bag of tricks to win the election this time.","Aku ingin tahu apakah Partai Republik akan memiliki metode untuk memenangkan pemilu kali ini"
"2","a big hand","tepuk tangan yang meriah","The audience gave a big hand to Kevin's performance.","Penonton memberikan tepuk tangan yang meriah melihat penampilan Kevin"
"3","a blessing in disguise ","ada hikmah dibalik sebuah keburukan(berkah tersembunyi)","Being caught in that traffic jam was a blessing in disguise. If I hadn't missed the flight, I would have been on that plane when it crashed.","Terjebak dalam kemacetan lalu lintas adalah berkah tersembunyi. Jika saya tidak ketinggalan pesawat, saya akan berada di pesawat itu ketika jatuh"
"4","a wake-up call","peringatan akan bahaya","I slipped over on the wet floor in my bathroom. I didn't hurt myself badly, but it was a wake-up call and I went out and bought some non-slip mats to stick on the floor.","Aku terpeleset di kamar mandi. Tidak sakit, tapi ini peringatan dan aku langsung membeli tikar untuk lantai"
"5","added insult to injury ","membuat seseorang marah dengan penghinaan berlipat ganda","`He said my clothes didn't suit me, and then to add insult to injury he said I needed to lose some weight!`","`Dia mengatakan pakaianku tidak cocok untukku, lalu dia menghinaku lagi dengan mengatakan aku perlu menurunkan berat badan!`"
"6","all of a sudden","tiba-tiba","Ten minutes ago the weather was fine, then all of a sudden the rain came.","10 menit lalu cuaca masih baik-baik saja, tapi tiba-tiba hujan turun."
"7","an eager beaver","orang yang selalu mau jadi relawan atau melakukan pekerjaan tambahan","Indra is certainly an eager beaver. Any time there's work to be done, he's the first to say he'll help.","Indra sungguh relawan yang bersemangat. Setiap kali ada pekerjan yang harus dilakukan, dia orang pertama yang ingin membantu"
"8","arm in arm","bergandengan (tangan)","The two lovers walked arm in arm down the street.","Sepasang kekasih berjalan bergandengan tangan."
"9","as clean as a whistle ","benar-benar bersih","Everything in a hospital should be as clean as a whistle.","Semua yang ada di rumah sakit harus benar-benar bersih"
"10","as easy as pie","sangat mudah","I thought you said this was a difficult task. In fact, it's as easy as pie.","Kau pikir ini pekerjaan yang susah. Sebenarnya ini mudah sekali,"
"11","as usual","seperti biasa","I hope it is as good as usual","Aku harap akan lancar seperti biasa"
"12","at long last","akhirnya","At long last, my right neighbor has moved to another town.","Akhirnya tetanggaku pindah kekota lain"
"13","at the eleventh hour","pada detik-detik terakhir, hampir terlambat","`Yes, I got the work done in time. I finished it at the eleventh hour, but I was able to submit.`","`Ya, aku mengerjakannya tepat waktu. Aku menyelesaikannya pada detik-detik terakhir,  tapi aku masih sempat menyerahkannya`"
"14","at top speed","sangat cepat","The bank robber drives his Porsche at top speed on the highway.","Perampok bank mengendarai Porchesnya dengan sangat cepat di jalanan"
"15","be all ears","penasaran ingin mendengar apa yang telah dikatakan orang","`Tell me what my father said. I'm all ears.`","`Katakan padaku apa yang ayahku bilang. Aku penasaran.`"
"16","be on the road","sedang bepergian","`Please don't contact me tomorrow because I'll be on the road.`","`Tolong jangan hubungi aku besok karena aku sedang bepergian.`"
"17","beat around the bush","menghindari sebuah isu, tidak suka ditanya-tanya","`Quit beating around the bush. If you don't want to go with me, just tell me!`"," "
"18","behind time","terlambat","Amin is always behind time entering the class.","Amin selalu terlambat masuk kelas"
"19","bite the bullet","berani bertahan pada situasi yang sangat sulit","She had to bite the bullet and give in to her boss's unreasonable demands.","Dia bersikap sangat berani saat menghadapi tuntutan atasannya yang tidak adil"
"20","break a leg!","semoga berhasil! (good luck!)","`I understand you have a job interview tomorrow. Break a leg!`","`Kau ada wawancara besok kan? Semoga berhasil!`"
"21","burn the midnight oil","belajar/bekerja sepanjang malam sampai subuh","I'm not ready for the presentation tomorrow. I guess I'll have to burn the midnight oil.","Aku tidak siap untuk presentasi besok. Aku rasa aku akan mempelajarinya sampai subuh"
"22","by the way","ngomong-ngomong","`By the way, you did interview yesterday, right?`","`Ngomong-ngomong, kau melakukan wawancara semalam kan?`"
"23","can't make heads or tails of something","tidak dapat mengerti sesuatu sama sekali, menganggap sesuatu membingungkan dan tidak logis.","`I can't make heads or tails of your e-mail. Were you having problems with computer?`","`Aku tidak mengerti sama sekali emailmu. Apa komputermu bermasalah?`"
"24","dead end","jalan buntu","Don't give up even if face dead end in your life.","Jangan pernah menyerah meskipun kamu menghadapi jalan buntu dalam hidupmu."
"25","dish out","membagikan",,
"26","dress up","berdandan rapi","` I'll dress up on your birthday party,you'll be surprised.`","` Aku akan mendandanimu pada pesta ulangtahunmu nanti, kau akan terkejut. `"
"27","drive someone up a wall","seseorang yang menyebalkan ","`My mom is driving me up a wall! She won't ever let me stay out late.`","`Ibuku sungguh meneybalkan! Dia tidak akan memperbolehkan saya berada di luar pada malam hari.`"
"28","find something out","mencari tahu","`Why does your brother always come home late? You need to find it out.`","`Kenapa abangmu selalu pulang telat? Kamu harus cari tau.`"
"29","get a kick out of something","merasa lucu dengan sesuatu","I really get a kick out of listening to children talk.","Aku merasa lucu ketika mendengar anak-anak bicara."
"30","get in someone's hair","mengganggu","Susan was trying to prepare dinner, but her children were getting in her hair!","Susan sedang menyiapkan makan malam, tapi anaknya mengganggunya saat dia sendang memasak."
"31","get together","bertemu","I hope someday we can get together again.","Aku harap suatu hari kita bisa bertemu lagi"
